FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-Cell Trace Violet-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-Viability eFluor780-A,Time
1.42E+06,1.02E+06,839511,265162,455154,332173,822139,214132,742986,2491.19,4105.09,74586.7,18960.4,10036.7,6353.65,631.883,3.2709
1.42E+06,1.03E+06,821898,258613,503833,379466,796645,212388,730586,2170.59,14223.8,46316.5,14236.3,8351.1,5550.88,1035.03,3.2756
1.85E+06,1.31E+06,851523,209921,396405,301324,789326,171182,735783,2101.03,76326.4,102149,54299.1,6821.42,7237.49,1066.23,3.3149
569152,358468,952641,327908,560926,373075,902112,240040,819634,6985.99,443320,67686,19999.7,5687.5,7154.75,3196.25,3.395
1.37E+06,954686,858244,231620,399524,299700,799849,194645,713977,1764.99,5997.58,48757.5,11850.9,11249.1,6572.89,316.597,3.434
871192,644881,810560,320460,462818,346344,801778,255687,751998,2091.69,3258.66,40137,32173.3,11122,6557.65,524.726,3.4347
2.15E+06,1.37E+06,939117,447069,657017,415553,948640,318423,842407,4815.71,54917,152270,37149,20122.8,10417.1,3169.77,3.4385
582254,325413,1.07E+06,247846,466274,235268,1.19E+06,127624,1.17E+06,1610.91,3843.68,1711.53,2776.67,293.724,32.7549,471.952,3.4444
1.21E+06,861966,841835,295660,470109,378119,745970,253384,700107,2153.27,5861.52,76391.5,28843.1,11046.5,7429.61,672.625,3.4545
1.07E+06,708338,909560,304149,386760,269990,859498,234016,779816,1919.29,20464.6,220129,13413.8,8852.11,7382.1,2110.69,3.4575
1.07E+06,756621,851397,249287,344109,263883,782412,207414,721128,1738.91,6036.68,47117.5,12491.9,11856.9,6275.25,2373.03,3.4607
819232,521827,941958,362331,627731,429127,877685,269413,806934,1523.51,47971.6,73083.9,26423.7,17065.2,10000.2,1483.73,3.4665
1.31E+06,968164,814236,334742,494072,386019,767950,283235,709111,1165.03,87987.4,110121,23957.1,17769.2,8419.21,992.83,3.4875
1.52E+06,1.06E+06,860430,220294,331494,241553,823407,179176,737689,2327.66,2535.71,42899.5,9665.23,13080.4,9040.96,1463.46,3.5022
1.00E+06,627099,958812,332483,517375,340720,911085,241232,826961,1535.4,19556,47818,22168.8,14744.2,7875.4,1026.74,3.5047
1.84E+06,1.13E+06,973824,657005,1.26E+06,859702,880182,488581,806832,5814.39,9250.16,130702,35720,34609.1,14857.1,3500.16,3.5122
1.43E+06,995664,862696,317476,428072,307959,834018,246114,773973,1886.06,87511.9,40080.2,11843.6,7052.75,7742,964.129,3.5145
1.31E+06,859978,914122,315311,510844,326166,939725,222710,849475,1902.29,3040.13,112611,52872.9,18524.4,8215.69,727.4,3.5593
1.35E+06,918550,879904,340678,545162,364185,898162,255355,800481,2293.81,10578.9,66753.5,17099.6,21826.3,7605.18,1023.75,3.6011
1.71E+06,1.24E+06,831752,238246,435185,315849,826695,188481,758418,1605.44,104296,34907.9,11624.7,8648.95,7859.12,1014.43,3.6203
2.14E+06,1.42E+06,906403,321736,559660,378691,886728,236328,816839,2290.85,81414.9,55175.4,22458.3,17227.6,11142.1,1312.14,3.6224
1.72E+06,1.17E+06,884081,273340,488229,349616,837884,217726,753258,2271.4,65062.7,68818.7,19706.6,21262.2,8472.83,1532.12,3.6537
1.08E+06,772571,842511,328536,532330,406633,785469,267444,737056,2360.23,103162,46856.9,11630.3,8527.34,10396.8,2993.27,3.691
1.23E+06,871903,844562,268422,444293,343518,776018,228218,705698,1863.19,18738.7,86716.8,14663.3,11205.8,7155.48,775.644,3.7131
1.80E+06,1.26E+06,859292,373997,648220,435346,893386,276901,810391,2403.9,35684.6,88587.2,21674,25123.3,14064.9,1773.33,3.7135
1.74E+06,1.23E+06,850512,383392,590182,422876,837384,294524,781042,2924.54,60290,63686.2,23556.1,18766.3,9133.26,1449.2,3.728
1.18E+06,779476,904992,35718.8,64032.2,36874,1.04E+06,22832,938652,2223.69,10136.9,2831.55,2270.7,275.563,121.419,897.121,3.7391
1.75E+06,1.18E+06,887043,341039,588660,410232,860967,259994,787032,2363.5,4969.49,46036.9,15410.5,15118,7210.31,1840.18,3.7405
1.05E+06,780310,809464,274283,497579,372335,801825,222861,738441,1638.29,9674.25,51236.6,15865.7,13802.5,6370.04,985.011,3.7636
1.32E+06,784623,1.01E+06,553511,811107,518163,939211,389939,851689,2655.15,113469,129567,63467.1,19549.1,11463,4211.42,3.7698
1.97E+06,1.37E+06,861454,172447,286948,204854,840448,136043,760556,1418.94,97353.4,53727.2,15004,5216.52,6262.08,1136.08,3.7949
1.39E+06,938097,890931,397974,549704,372869,884553,292890,815269,2578.7,2931.22,85071.7,21300.7,25097.7,12345.6,519.482,3.7961
1.29E+06,947965,817796,282562,422294,324209,781522,230702,734875,1740.17,37917.9,68112.7,10535.6,8361.94,8106.29,1277.52,3.8022
1.51E+06,1.07E+06,850096,271643,452679,307829,882331,193631,841735,2463.91,67632.2,71826.4,15476.4,19511.2,12267.2,1153.9,3.8042
1.19E+06,880770,811932,381339,608340,474451,769319,311208,735210,2204.65,83764.7,93644.9,28511,8734.77,7287.58,1545.37,3.8086
955391,644307,889692,304956,477176,336092,851866,232268,787770,1653.8,14828.5,72094.3,33704.3,15969.1,7716.63,697.236,3.8223
2.19E+06,1.30E+06,1.01E+06,196604,348528,238278,877616,145428,811139,2215.81,17340.6,84297.2,31568.4,6098.94,7847.37,897.985,3.825
2.15E+06,1.46E+06,884220,391908,699815,490847,855438,303085,775839,1956.95,3274.39,66310.3,25946.2,20357.1,18261.9,945.888,3.8368
