"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.11857e+06,871828,211945,260743,214853,190476,2794.21,-7935.67,2.64478e+06,35505.2,4902.58,5792.37,8294.28,7.2901
1.23036e+06,980143,184666,272128,243322,175838,1759.02,-6613.18,2.08034e+06,28443.2,844.798,4166.19,6611.23,7.4849
1.20109e+06,954439,151653,151494,130849,143946,1422.09,-7358.5,2.20158e+06,22995.6,2067.08,2986.92,6214.36,7.4878
1.43785e+06,1.12778e+06,144245,205890,169141,130026,1656.08,-6647.77,2.16246e+06,23771,2865.54,4136.54,6616.72,7.5229
1.48327e+06,1.11836e+06,172881,256949,204291,150231,1806.77,-8104.52,3.32293e+06,31774.7,1163.52,6867.66,9755.65,7.5855
2.65993e+06,1.65482e+06,262943,446277,286416,191538,4514.7,-5845.91,2.90523e+06,73721.4,3881.57,5450.28,10012,7.6199
1.27113e+06,992430,170222,193022,159162,155756,2128.76,-7648.58,2.1784e+06,28832.9,3729.3,3476.16,7130.1,7.6746
1.12844e+06,840722,152097,244448,199104,129400,2519.7,-7706.05,2.46106e+06,39604.6,1297.47,4911.61,7669.58,7.7279
1.51764e+06,1.28317e+06,122645,174039,161575,116863,2470.69,-5877.52,2.1727e+06,22161.2,1990.88,2475.7,6532.3,7.7289
1.55131e+06,1.24852e+06,159328,168233,141734,144009,3098.17,-9101.42,2.80874e+06,30479.9,2280.92,4301.26,9237.24,7.7663
1.41495e+06,1.09628e+06,162388,217467,176729,145605,2327.48,-7519.34,2.55289e+06,28494.1,2716.57,4303.65,8103.05,7.8004
1.52165e+06,1.25855e+06,125055,160791,137066,115215,1668.96,-7017.82,2.32683e+06,28287.9,-775.721,4512.45,6921.17,7.8239
1.50889e+06,1.20224e+06,160239,296086,252725,144648,2240.57,-7314.76,2.36852e+06,35834.3,950.574,3966.21,8181.38,7.8327
996691,762402,132474,128523,106299,121653,1697.11,-6070.63,2.02491e+06,24284.1,1856.53,3365.18,6635.91,7.9035
1.33323e+06,1.07164e+06,126756,167186,142608,116065,2160.56,-5389.29,1.88964e+06,26788.4,2014.1,4153.39,6169.66,7.9047
1.41902e+06,1.18749e+06,134748,171368,153139,124895,1992.07,-7419.69,2.40093e+06,27830.2,2209.08,3619.08,7325.43,7.9195
1.42617e+06,1.17093e+06,167484,257596,211189,152803,2322.91,-7549.86,2.29748e+06,25148.6,945.286,3674.74,7250.4,7.9294
1.43406e+06,1.12616e+06,138583,216976,190141,132766,1378.38,-5411.1,2.18851e+06,23649.1,362.988,4299.72,6852.05,7.9321
1.53499e+06,1.2214e+06,162237,186038,157322,151942,4271.5,-14128.4,4.15752e+06,17886.5,2643.81,2939.33,11910.7,7.9386
1.47872e+06,1.27125e+06,107315,140790,127837,100127,1579.35,-6241.74,1.90435e+06,19033.4,746.586,2964.16,6096.25,7.978
1.78425e+06,1.46141e+06,178723,282101,229811,152962,2417.48,-7505.8,2.72601e+06,22442.5,3793.83,3777.66,9419.01,7.9854
1.30645e+06,1.04154e+06,133990,206797,179387,124600,1988.22,-6631.04,1.91228e+06,28218.2,808.135,3902.57,6513.67,8.0387
1.39235e+06,1.15881e+06,161051,200013,177779,149918,2951.34,-7071.29,2.25386e+06,31613.7,4069.45,3248.54,7733.93,8.0409
1.31698e+06,1.08449e+06,162216,183860,161023,150179,1838.31,-6969.74,2.32835e+06,24539.2,972.408,4356.08,7478.82,8.0887
1.37281e+06,1.07899e+06,147622,209600,181885,137897,2825.39,-7947.68,2.33836e+06,31604.4,5299.04,2959.27,7728.96,8.0968
1.6028e+06,1.20277e+06,143462,195438,157627,129612,2441.44,-4595.49,2.05059e+06,32145.4,2505.92,5109.57,6286.57,8.1711
1.46897e+06,1.17623e+06,141085,208797,183423,132373,1988.59,-8558.26,2.66289e+06,27532.7,412.642,4381.63,8185.53,8.1806
1.37059e+06,1.07683e+06,164641,244205,209071,151144,1640.13,-8366.28,2.78787e+06,37705,2888.61,4702.96,9362.25,8.2681
1.38338e+06,1.08859e+06,176137,321229,273211,158625,2359.4,-4927.91,1.84117e+06,26162,646.944,3157.02,6071.78,8.3264
1.27207e+06,1.03412e+06,142691,171246,146811,131328,1492.36,-7224.15,2.30185e+06,26578.6,1586.63,3803.91,7096.4,8.347
1.54966e+06,1.31653e+06,117125,167502,152336,110248,1337.73,-8347.21,2.6968e+06,16152,-198.348,2495.08,8539.24,8.3546
1.56716e+06,1.22181e+06,222764,340181,294960,205586,3264.66,-9989.62,3.23248e+06,38510.9,2832.42,5812.21,11505.2,8.3611
1.36737e+06,1.06246e+06,133767,214106,182221,121283,2256.57,-5975.23,2.65557e+06,26039.8,560.724,3809.83,8219.4,8.4456
1.21983e+06,897852,188670,195712,153135,160304,4488.22,-11923.6,3.58821e+06,40160.7,5910.63,4988.98,9882.07,8.5263
1.4477e+06,1.19299e+06,158849,254840,228388,144721,1777.73,-6106.35,2.29939e+06,31339.7,505.418,4471.14,7587.73,8.5338
1.41568e+06,1.17333e+06,172607,233074,206944,160879,1956.79,-6945.6,2.10361e+06,27721.8,2576.79,3743,7238.87,8.5421
1.55071e+06,1.22054e+06,152161,229660,191176,136951,1629.55,-7329.67,2.4265e+06,30912.3,1763.13,4054.92,8571.48,8.5551
1.20123e+06,930424,177235,227166,184895,157606,1627.16,-6079.88,2.09736e+06,23140.6,2105.5,3775.34,6145.17,8.6302
1.2463e+06,983929,270654,669082,596737,246707,1993.96,-5433.27,2.47582e+06,30475.9,2276.72,4899.54,8920.59,8.6441
886473,620042,94881.7,117126,87997,78023,2362.16,-7838.69,2.22563e+06,17867.8,1612.05,3225.51,6423.72,8.7085
1.19796e+06,983487,163723,173582,154954,155705,1655.93,-7610.51,2.29408e+06,24019.8,997.289,3899.89,6840.46,8.7206
1.3478e+06,1.11928e+06,181238,252689,235336,173659,2400.68,-7009.29,2.35742e+06,30751.9,8585.66,3931.61,7641.79,8.7429
1.28668e+06,974110,186517,332781,281253,164980,3477.82,-4102.58,2.76224e+06,37191.3,3836.35,5300.77,8927.03,8.7608
1.18102e+06,966540,178780,193677,158913,161187,1916.9,-8295.9,2.26813e+06,21090.9,2559.19,3663.02,6988.56,8.7736
1.40624e+06,1.16238e+06,151522,225759,210149,141330,2115.65,-4788.51,2.45987e+06,35216.6,986.982,4129.07,8016.33,8.7788
1.71001e+06,1.37862e+06,170366,205140,175645,158159,2994.61,-11665.8,3.53953e+06,47236,2368.98,5095.96,10674.8,8.8568
1.22941e+06,943739,187263,248678,155742,134966,2496.41,-5900.92,1.66008e+06,25936.2,2958.86,3906.56,5226.69,8.8578
1.69594e+06,1.24771e+06,190144,249402,192778,168580,2629.91,-4766.18,2.68439e+06,31910.3,-140.979,4366.58,7801.05,8.8777
1.36019e+06,1.04339e+06,190106,303736,225441,163505,2126.8,-5726.9,2.30801e+06,28965.9,2764.09,4426.01,7501.78,8.9213
1.42625e+06,1.12245e+06,131011,184431,148443,119430,2270.94,-7144.26,2.14743e+06,32087.8,416.807,4418.6,7093.93,8.9643
1.40643e+06,1.13632e+06,115682,176277,155495,108401,2954.09,-6007.18,1.76377e+06,28390.9,7321.46,3317.5,5660.88,9.0033
1.42226e+06,1.15292e+06,117571,184623,159226,109798,1750.09,-5038.52,2.26681e+06,22184.4,1638.97,4013.04,7059.83,9.0086
1.15157e+06,932062,151888,155714,131143,140167,2112.82,-7691.65,2.4694e+06,23341,698.215,4173.41,7077.79,9.0121
1.45005e+06,1.10844e+06,173871,205373,168646,161240,1170.69,-7915.23,3.1243e+06,23884.7,2763.88,4266.7,9130.07,9.0218
1.3566e+06,1.13184e+06,160694,220557,201711,152135,2222.85,-7257.87,2.39899e+06,21885.1,1987.79,3633.83,8058.53,9.028
1.29988e+06,1.05405e+06,168101,239039,204184,152468,2388.28,-5108.5,2.045e+06,26032.8,1383.37,4075.42,7274.91,9.0578
1.33563e+06,1.02692e+06,157576,248004,209716,144893,1128.05,-2437.74,1.89087e+06,28984.7,1080.93,4200.54,6149.59,9.1692
1.59095e+06,1.33536e+06,149711,195009,174468,139405,3159.05,-7534.63,2.46848e+06,29078,786.319,3930.71,7496.63,9.1811
1.39174e+06,1.07514e+06,157074,230479,188129,138802,1970.58,-4353.32,2.59558e+06,33576.6,2733.29,4865.62,7965.55,9.1888
1.23042e+06,973281,156809,188800,157885,143785,1422.29,-7626.27,2.30682e+06,25336.9,2324.42,4195.72,7471.63,9.2386
1.4384e+06,1.2203e+06,140536,175262,158835,132892,2382.66,-9129.97,2.70614e+06,21034.9,3188.08,3144.89,8378.9,9.2809
1.49342e+06,1.22704e+06,143091,181682,161042,132510,2626.55,-7057.98,2.4204e+06,30818,1289.08,4507.13,7443.07,9.4134
1.26228e+06,1.02728e+06,147839,187445,162553,133409,2510.07,-9483.31,2.66583e+06,31450,2468.07,4855.62,8504.88,9.4137
1.57944e+06,1.29368e+06,133830,173832,153439,126339,2461.39,-7511.34,2.33888e+06,22798.7,1235.59,3406.34,7501.67,9.4581
1.2853e+06,1.07419e+06,167667,206295,165232,150514,1833.65,-8460.35,2.31518e+06,23016.8,3272.59,3817.17,7331.57,9.4631
1.43936e+06,1.21433e+06,136393,187657,170352,127869,1828.92,-6540.92,2.37151e+06,24608.1,-222.77,4243.57,7583.94,9.5021
1.27568e+06,1.05032e+06,137553,164772,141215,127321,2429.76,-7433.96,2.32753e+06,21750.6,2467.3,6197.73,6093.87,9.5447
1.49812e+06,1.2066e+06,127353,204361,180435,119781,1929.85,-6253.81,2.55381e+06,28468.5,1609.57,4087.66,8412.16,9.6216
1.3311e+06,1.0281e+06,172059,254435,207781,152945,1460.55,-6848.98,2.24723e+06,29889.9,1989.3,3949.85,7373.16,9.6665
1.43459e+06,1.12392e+06,142142,182534,155737,131669,3215.4,-9848.71,2.80928e+06,22262.3,8969.13,2264.95,8744.25,9.6914
1.39154e+06,1.10346e+06,118447,151344,127043,109418,852.512,-6714.39,2.12547e+06,21345.8,116.797,3899.3,6868.82,9.7122
1.41763e+06,1.20479e+06,99877.9,135820,120909,93553,2619.88,-3600.83,1.99383e+06,24390.4,3741,2270.54,6352.49,9.7423
