"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.69892e+06,1.37234e+06,166821,216883,187680,154629,2765.9,-10081.4,3.20364e+06,25568.7,5097.57,2581.64,10960.2,8.466
1.40415e+06,1.10198e+06,117259,139128,116721,109815,2374.27,-4906.98,1.7754e+06,19531.1,2153.81,2246.41,4660.3,8.4868
1.50241e+06,1.21338e+06,116679,183819,157864,109346,2910.31,-6396.2,2.05653e+06,23319,4203.23,2959.93,6226.24,8.5267
1.56973e+06,1.28923e+06,113920,198986,178528,106112,2269.88,-5935.64,1.8567e+06,20164.9,889.974,2183.31,6473.36,8.5789
1.52836e+06,1.29938e+06,125260,160028,145136,117644,2353.93,-6506.73,2.11706e+06,17930.6,1389.08,3028.44,5980.36,8.6119
1.35572e+06,1.06368e+06,104939,144630,122536,96513,2508.13,-6462.05,2.17422e+06,24739,1347.88,3356.46,6907.46,8.8315
1.3169e+06,1.02917e+06,111908,126034,99203,100955,1661.96,-5331.38,1.91702e+06,17311.5,993.583,2675.65,6189.49,8.8496
1.10525e+06,878670,150493,155091,126781,135724,1634.03,-4719.35,1.54277e+06,19314.6,2420.57,3118.57,4707.42,8.9158
1.53938e+06,1.21816e+06,202257,323514,294786,198719,2988.73,-5499.1,1.86771e+06,28538.2,2205.6,3395.63,6323.53,9.1396
881824,701346,117799,148219,123314,104284,1417.68,-4425.18,1.36565e+06,19299.7,2028.75,2425.05,4984.31,9.3701
1.2588e+06,993258,215371,304404,239063,183407,1095.22,-4948.91,1.80668e+06,27522.8,87.6699,3000.78,6283.42,9.5136
1.59274e+06,1.31277e+06,115078,172749,151983,107320,2265.92,-6006.66,2.19678e+06,21477,-278.799,3056.88,7110.23,9.5362
1.5755e+06,1.26858e+06,112927,197208,167643,103161,2216.46,-4618.55,1.81068e+06,26185.7,833.5,3649.11,5631.66,9.5443
1.35856e+06,1.07262e+06,131017,187858,160877,121437,1866.52,-5434.98,1.79133e+06,26732.7,991.307,3182.92,5852.42,9.605
1.62516e+06,1.34468e+06,240972,650612,612782,231083,1723.45,-6735.09,2.25068e+06,23936.7,2193.85,3259.93,8187.88,9.6457
1.09428e+06,889373,111878,108268,93617,104455,2088.68,-5036.83,1.79981e+06,22995.3,2801.84,5515.02,5438.27,9.6653
1.57307e+06,1.31896e+06,183577,436157,386794,172147,2314.03,-4533.75,1.80731e+06,27992,3647.91,3874.97,6104.18,9.6938
1.49016e+06,1.23819e+06,108066,134148,118922,102249,2673.87,-3829.7,1.40811e+06,24950.7,1875.34,3074.08,4288.62,9.7151
1.20777e+06,1.00538e+06,148271,201088,184519,140798,1346.08,-4913.82,1.5944e+06,26787.2,2044.16,2947.84,5158.85,9.7371
1.39278e+06,1.18148e+06,139430,206083,186114,130189,1337.49,-5112.21,1.96486e+06,23918.8,1822.02,3267.45,6234.9,9.9842
1.40437e+06,1.0449e+06,182894,243592,171309,146593,5586.16,-4494.51,1.74523e+06,32276.6,6350.87,5295.33,5403.93,10.0158
1.34879e+06,1.0849e+06,131318,136754,118135,122096,2651.84,-7371.09,2.24435e+06,18758,-489.947,3161.38,6502.6,10.0189
1.3555e+06,1.1141e+06,113850,132708,115670,107123,849.068,-4796.65,1.41788e+06,21882.1,1482.73,6049.25,4349.33,10.0865
1.59513e+06,1.35343e+06,114972,139813,123841,107593,2576.64,-7004.97,2.46224e+06,23954.5,-20.4414,3268.52,7944.38,10.1676
1.67206e+06,1.28323e+06,149743,222372,178256,130695,2066.98,-5891.29,2.0174e+06,35630.5,738.488,4069.31,7392.65,10.1746
1.88888e+06,1.44562e+06,208316,297143,234066,173610,7138.04,-8297,3.73545e+06,80379.7,4532.33,7252.86,10873.7,10.2073
1.4441e+06,1.22079e+06,102640,155325,141111,97817,1960.51,-4339.13,1.34278e+06,23575.2,984.031,2720.84,4155.62,10.2182
1.55305e+06,1.27527e+06,90499.1,139887,124581,84935,1595.09,-4941.55,1.95966e+06,19803.7,559.554,2452.33,5791.83,10.2917
1.2809e+06,1.04575e+06,138919,221137,195677,127957,1632.19,-4170.36,1.73767e+06,34259.3,2567.55,3913.48,5332.26,10.3253
1.45601e+06,1.21819e+06,89884.8,136618,122100,83902,1150.19,-3792.59,1.80002e+06,18434.4,1635.35,1513.19,5132.24,10.3624
1.51232e+06,1.26425e+06,129023,174256,154076,120394,1799.71,-4776.21,2.12036e+06,22599.8,1191.62,2661.12,6253.64,10.3772
1.21083e+06,1.00473e+06,143102,254877,235695,132135,2390.33,-5858.23,1.85017e+06,45938.7,2564.08,4107.91,6118.88,10.4
1.51e+06,1.20086e+06,120815,186086,156660,110688,2644.41,-5101.08,2.12191e+06,21449,4364.62,2760.34,6241.9,10.4478
1.24726e+06,1.01115e+06,144907,162578,137550,133668,1405.32,-6242.45,1.85573e+06,22906.7,1800.83,3016.69,5955.12,10.4928
1.40518e+06,1.13037e+06,130204,150083,128619,121844,2205.14,-5314.42,1.80688e+06,20136.7,2032.65,2425.84,5465.58,10.4998
1.41916e+06,1.15481e+06,160019,193234,166480,146678,7337.74,-12227.4,3.64124e+06,119241,2762.24,4984.43,12462.4,10.5467
1.308e+06,1.01474e+06,149739,201524,168383,137422,2319.75,-5350.43,1.77445e+06,38946.6,1490.23,4458.26,5918.76,10.5577
